Date,Open,High,Low,Close,Volume
11/11/2005,123.35,123.84,122.43,123.76,34867000
10/11/2005,122.34,123.52,121.75,123.34,79048100
09/11/2005,122.08,122.95,121.86,122.39,57666800
08/11/2005,121.93,122.42,121.79,122.23,42152800
07/11/2005,122.37,122.62,121.85,122.23,46765400
04/11/2005,122.4,122.46,121.55,122.11,59156000
03/11/2005,122.15,122.66,121.75,122.27,84897600
02/11/2005,120.17,121.75,120.13,121.75,74012300
01/11/2005,120.58,120.9,120.22,120.49,66365100
31/10/2005,120.29,121.3,120.13,120.13,77698900
28/10/2005,118.43,119.95,118.1,119.8,72322000
27/10/2005,119.2,119.37,117.93,118.1,66623100
26/10/2005,119.51,120.54,119.19,119.37,80855800
25/10/2005,119.72,120.24,118.94,119.72,76594500
24/10/2005,118.44,120.09,118.41,119.96,71308400
21/10/2005,118.29,118.78,117.51,118.13,96579500
20/10/2005,119.49,119.81,117.3,117.67,131966700
19/10/2005,117.5,119.8,117.12,119.78,116563800
18/10/2005,118.94,118.96,117.8,117.82,74996900
17/10/2005,118.8,119.27,118.45,119.11,68109300
14/10/2005,118.12,118.81,117.56,118.67,88651000
13/10/2005,117.46,118.08,116.88,117.43,99052900
12/10/2005,118.39,119.13,117.41,117.5,100510400
11/10/2005,118.99,119.39,118.32,118.43,75629800
10/10/2005,119.68,119.71,118.3,118.6,52677000
07/10/2005,119.7,120.05,119.13,119.61,75661400
06/10/2005,119.78,120.26,118.17,119.2,140941800
05/10/2005,121.25,121.31,119.57,119.63,106052100
04/10/2005,122.79,123.03,121.16,121.22,60776300
03/10/2005,122.96,123.34,122.45,122.6,50994800
30/09/2005,122.62,123.04,121.74,123.04,47824200
29/09/2005,121.55,122.86,121.08,122.66,66607700
28/09/2005,121.93,122.12,121.2,121.67,58620500
27/09/2005,121.52,121.99,121.02,121.55,66150800
26/09/2005,122.02,122.24,121.08,121.58,70415400
23/09/2005,121.24,121.89,120.9,121.44,59368100
22/09/2005,120.95,121.66,120.44,121.34,84597200
21/09/2005,121.79,121.87,120.78,120.91,94469100
20/09/2005,123.2,123.61,121.87,122.05,84480300
19/09/2005,123.47,123.55,122.64,123.09,53355300
16/09/2005,123.3,123.74,122.87,123.5,75424100
15/09/2005,123.59,123.65,122.9,123.15,73156900
14/09/2005,123.74,123.92,123.02,123.21,57694600
13/09/2005,124.13,124.42,123.52,123.66,58427500
12/09/2005,124.45,124.67,124.27,124.35,33017600
09/09/2005,123.83,124.74,123.8,124.6,43093900
08/09/2005,123.66,124,123.31,123.5,39068700
07/09/2005,123.63,124.13,123.46,123.91,41749700
06/09/2005,122.66,123.8,122.65,123.7,57251300
02/09/2005,122.85,122.88,122.04,122.27,47653400
01/09/2005,122.52,123.15,121.14,122.49,74578700
31/08/2005,121.19,122.66,120.74,122.58,102945200
30/08/2005,121.25,121.3,120.39,121.05,74160200
29/08/2005,120.41,121.78,120.38,121.69,56179200
26/08/2005,121.48,121.49,120.68,120.76,61956800
25/08/2005,121.35,121.67,121.21,121.59,35631100
24/08/2005,121.94,122.73,121.09,121.15,79104600
23/08/2005,122.5,122.61,121.15,122.24,55168600
22/08/2005,122.58,123.23,121.88,122.47,69912000
19/08/2005,122.63,122.82,122.2,122.47,39842100
18/08/2005,122.05,122.56,121.84,122.19,53388600
17/08/2005,122.19,122.87,122.03,122.2,62275100
16/08/2005,123.44,123.52,122.09,122.21,71942100
15/08/2005,123.22,123.87,122.83,123.82,36208500
12/08/2005,123.57,123.69,122.75,123.06,54776900
11/08/2005,123.27,124.03,123.01,123.82,58570200
10/08/2005,123.82,124.5,122.82,123.33,72863700
09/08/2005,123.06,123.59,122.87,123.39,47170000
08/08/2005,123.15,123.41,122.38,122.65,47616000
05/08/2005,123.45,123.98,122.67,122.88,53595500
04/08/2005,124.23,124.31,123.57,123.72,50855600
03/08/2005,124.25,124.74,124.12,124.72,36837200
02/08/2005,123.87,124.6,123.74,124.39,45147400
01/08/2005,123.83,124.04,123.45,123.65,40418200
29/07/2005,124.41,124.63,123.5,123.74,62358100
28/07/2005,123.96,124.64,123.64,124.57,47880700
27/07/2005,123.5,123.89,123.05,123.79,43181600
26/07/2005,123.23,123.53,122.95,123.34,42758800
25/07/2005,123.41,123.95,122.85,123.19,57301600
22/07/2005,122.88,123.56,122.63,123.54,52607100
21/07/2005,123.55,123.61,122.47,122.72,101110900
