date,close,high,low,open,volume,,,,,,
15/12/2010,5882.18,5898.04,5858.11,5891.21,781046528,,0,,0,0,0
14/12/2010,5891.21,5891.21,5847.15,5860.75,665299264,,0,,0,0,0
13/12/2010,5860.75,5873.71,5812.94,5812.95,562916544,,0,,0,0,0
10/12/2010,5812.95,5827.59,5794.51,5807.96,620763200,,0,,0,0,0
09/12/2010,5807.96,5837.96,5794.53,5794.53,910975232,,0,,0,0,0
08/12/2010,5794.53,5826.59,5774.28,5808.45,795733888,,0,,0,0,0
07/12/2010,5808.45,5850.4,5769.67,5770.28,915796608,,0,,0,0,0
06/12/2010,5770.28,5785.7,5728.46,5745.32,761310208,,0,,0,0,0
03/12/2010,5745.32,5784.26,5720.2,5767.56,758340928,,0,,0,0,0
02/12/2010,5767.56,5770.94,0,5642.5,107111568,,0,,0,0,0
01/12/2010,5642.5,5656.22,0,5528.27,114273240,,0,,0,0,0
30/11/2010,5528.27,5597,0,5550.95,131221424,,0,,0,0,0
29/11/2010,5550.95,5722.7,0,5668.7,101658592,,0,,0,0,0
26/11/2010,5668.7,5699.02,5599.29,5698.93,862384320,,0,,0,0,0
25/11/2010,5698.93,5707.92,5654.7,5657.1,556473472,,0,,0,0,0
24/11/2010,5657.1,5671.87,5573.33,5581.28,907509888,,0,,0,0,0
23/11/2010,5581.28,5681.06,0,5680.83,102960872,,0,,0,0,0
22/11/2010,5680.83,5783.14,5668.48,5732.83,774612672,,0,,0,0,0
19/11/2010,5732.83,5774.07,5684.49,5768.71,732494016,,0,,0,0,0
18/11/2010,5768.71,5782.98,5692.56,5692.56,729396160,,0,,0,0,0
17/11/2010,5692.56,5704.39,5659.65,5681.9,761486016,,0,,0,0,0
16/11/2010,5681.9,5820.43,5680.87,5820.41,871717184,,0,,0,0,0
15/11/2010,5820.41,5832.88,5755.68,5796.87,620872896,,0,,0,0,0
12/11/2010,5796.87,5831.81,5711.73,5815.23,986021504,,0,,0,0,0
11/11/2010,5815.23,5846.45,0,5816.94,109104168,,0,,0,0,0
10/11/2010,5816.94,5876.97,5796.23,5875.19,942150400,,0,,0,0,0
09/11/2010,5875.19,5902.11,5847.43,5849.96,951025344,,0,,0,0,0
08/11/2010,5849.96,5880.99,5841.29,5875.35,772608576,,0,,0,0,0
05/11/2010,5875.35,5899.37,0,5862.79,110680136,,0,,0,0,0
04/11/2010,5862.79,5876.03,0,5748.97,107978992,,0,,0,0,0
03/11/2010,5748.97,5773.73,5730.47,5757.43,825699264,,0,,0,0,0
02/11/2010,5757.43,5771.63,5690.44,5694.62,805488192,,0,,0,0,0
01/11/2010,5694.62,5733.01,5667.39,5675.16,641818688,,0,,0,0,0
29/10/2010,5675.16,5699.23,5647.05,5677.89,836504192,,0,,0,0,0
28/10/2010,5677.89,5711.82,5645.96,5646.02,767340992,,0,,0,0,0
27/10/2010,5646.02,5707.3,5630.85,5707.3,787759808,,0,,0,0,0
26/10/2010,5707.3,5754.2,5677.2,5751.98,812461824,,0,,0,0,0
25/10/2010,5751.98,5794.31,5741.37,5741.37,772475840,,0,,0,0,0
22/10/2010,5741.37,5758.01,5724.31,5757.86,657950400,,0,,0,0,0
21/10/2010,5757.86,5786.73,0,5728.93,102380784,,0,,0,0,0
20/10/2010,5728.93,5729.96,5680.43,5703.89,671501760,,0,,0,0,0
19/10/2010,5703.89,5761.93,5690.58,5742.52,777975680,,0,,0,0,0
18/10/2010,5742.52,5748.81,5670.07,5703.37,610917568,,0,,0,0,0
15/10/2010,5703.37,5743.92,5665.95,5727.21,996353344,,0,,0,0,0
14/10/2010,5727.21,5770.92,0,5747.35,113042496,,0,,0,0,0
13/10/2010,5747.35,5760.49,5661.59,5661.59,973403264,,0,,0,0,0
12/10/2010,5661.59,5677.02,5597.46,5672.4,637397376,,0,,0,0,0
11/10/2010,5672.4,5685.95,5655.7,5657.61,475637856,,0,,0,0,0
08/10/2010,5657.61,5663.74,0,5662.13,104704960,,0,,0,0,0
07/10/2010,5662.13,5707.33,5650.78,5681.39,947272576,,0,,0,0,0
06/10/2010,5681.39,5695.51,5635.76,5635.76,756640384,,0,,0,0,0
05/10/2010,5635.76,5646.08,5550.57,5555.97,830151744,,0,,0,0,0
04/10/2010,5555.97,5601.22,5550.79,5592.9,604252096,,0,,0,0,0
01/10/2010,5592.9,5615.14,5547.55,5548.62,823630656,,0,,0,0,0
30/09/2010,5548.62,5650.33,0,5569.27,101263352,,0,,0,0,0
29/09/2010,5569.27,5624.5,5544.72,5578.44,799992320,,0,,0,0,0
28/09/2010,5578.44,5582.05,5506.07,5573.42,854163136,,0,,0,0,0
27/09/2010,5573.42,5615.78,5569.89,5598.48,600635520,,0,,0,0,0
24/09/2010,5598.48,5612.54,5516.46,5547.08,818644672,,0,,0,0,0
23/09/2010,5547.08,5588.79,5471.69,5551.91,795945472,,0,,0,0,0
22/09/2010,5551.91,5597.55,5516.86,5576.19,783222528,,0,,0,0,0
21/09/2010,5576.19,5635.72,5576.19,5602.54,731451520,,0,,0,0,0
20/09/2010,5602.54,5607.31,5508.45,5508.45,677945600,,0,,0,0,0
17/09/2010,5508.45,5612.89,0,5540.14,139156544,,0,,0,0,0
16/09/2010,5540.14,5564.46,5533.96,5555.56,700780096,,0,,0,0,0
15/09/2010,5555.56,5578.69,5535.95,5567.41,764665792,,0,,0,0,0
14/09/2010,5567.41,5582.46,5541.5,5565.53,739105984,,0,,0,0,0
13/09/2010,5565.53,5571.39,5501.64,5501.64,882318720,,0,,0,0,0
10/09/2010,5501.64,5511.52,5475.94,5494.16,792428224,,0,,0,0,0
09/09/2010,5494.16,5505.66,5412.48,5429.74,936215744,,0,,0,0,0
08/09/2010,5429.74,5445.62,5361.42,5407.82,882273344,,0,,0,0,0
07/09/2010,5407.82,5439.21,5381.07,5439.19,700129088,,0,,0,0,0
06/09/2010,5439.19,5459.4,5428.15,5428.15,483459776,,0,,0,0,0
03/09/2010,5428.15,5454.01,5371.04,5371.04,733985152,,0,,0,0,0
02/09/2010,5371.04,5383.72,5346.96,5366.41,837828928,,0,,0,0,0
01/09/2010,5366.41,5366.41,5225.22,5225.22,990584192,,0,,0,0,0
31/08/2010,5225.22,5225.22,0,5201.56,116223104,,0,,0,0,0
27/08/2010,5201.56,5211.58,5121,5155.84,791736448,,0,,0,0,0
26/08/2010,5155.84,5167.76,5109.4,5109.4,699881152,,0,,0,0,0
25/08/2010,5109.4,5168.46,5070.94,5155.95,852400704,,0,,0,0,0
24/08/2010,5155.95,5234.84,5109.88,5234.84,863419520,,0,,0,0,0
23/08/2010,5234.84,5268.43,5186.92,5195.28,582331136,,0,,0,0,0
20/08/2010,5195.28,5233.02,5160.43,5211.29,808699200,,0,,0,0,0
19/08/2010,5211.29,5336.35,5205.64,5302.87,825504384,,0,,0,0,0
18/08/2010,5302.87,5350.55,5296.93,5350.55,653683328,,0,,0,0,0
17/08/2010,5350.55,5351.45,5276.1,5276.1,722264704,,0,,0,0,0
16/08/2010,5276.1,5304.64,5228.64,5275.44,602793728,,0,,0,0,0
13/08/2010,5275.44,5308.84,5225.91,5266.06,863371008,,0,,0,0,0
12/08/2010,5266.06,5272.5,0,5245.21,105866136,,0,,0,0,0
11/08/2010,5245.21,5376.41,0,5376.41,104690032,,0,,0,0,0
10/08/2010,5376.41,5411.56,5348.11,5410.52,853616960,,0,,0,0,0
09/08/2010,5410.52,5418.58,5332.39,5332.39,635528384,,0,,0,0,0
06/08/2010,5332.39,5408.06,0,5365.78,114737072,,0,,0,0,0
05/08/2010,5365.78,5416.76,0,5386.16,108281888,,0,,0,0,0
04/08/2010,5386.16,5406.83,0,5396.48,115777352,,0,,0,0,0
03/08/2010,5396.48,5397.26,5353.49,5397.11,849018624,,0,,0,0,0
02/08/2010,5397.11,5401.69,5258.02,5258.02,955917376,,0,,0,0,0
30/07/2010,5258.02,5322.67,5245.52,5313.95,838262528,,0,,0,0,0
29/07/2010,5313.95,5375.23,5313.95,5319.68,792887424,,0,,0,0,0
28/07/2010,5319.68,5398.1,0,5365.67,118482128,,0,,0,0,0
27/07/2010,5365.67,5411.45,0,5351.12,181036256,,0,,0,0,0
26/07/2010,5351.12,5351.92,5301.29,5312.62,772356032,,0,,0,0,0
23/07/2010,5312.62,5328.51,5272.67,5313.81,872202688,,0,,0,0,0
22/07/2010,5313.81,5319.48,0,5214.64,102207752,,0,,0,0,0
21/07/2010,5214.64,5244.88,5139.46,5139.46,966423872,,0,,0,0,0
20/07/2010,5139.46,5179.99,5090.57,5148.28,830739456,,0,,0,0,0
19/07/2010,5148.28,5196.77,5111.89,5158.85,687707328,,0,,0,0,0
16/07/2010,5158.85,5273.58,0,5211.29,106818592,,0,,0,0,0
15/07/2010,5211.29,5268.41,5187.46,5253.52,834459392,,0,,0,0,0
14/07/2010,5253.52,5287.28,5205.78,5271.02,839655744,,0,,0,0,0
13/07/2010,5271.02,5272.3,5167.01,5167.02,891506880,,0,,0,0,0
12/07/2010,5167.02,5193.22,5128.6,5132.94,622994240,,0,,0,0,0
09/07/2010,5132.94,5150.64,5098.79,5105.45,859246464,,0,,0,0,0
08/07/2010,5105.45,5123.53,0,5014.82,113003344,,0,,0,0,0
07/07/2010,5014.82,5014.82,0,4965,106188592,,0,,0,0,0
06/07/2010,4965,4967.65,4823.53,4823.53,921871872,,0,,0,0,0
05/07/2010,4823.53,4863.35,4821.09,4838.09,539451392,,0,,0,0,0
02/07/2010,4838.09,4880.88,0,4805.75,103889136,,0,,0,0,0
01/07/2010,4805.75,4916.87,0,4916.87,134292048,,0,,0,0,0
30/06/2010,4916.87,4961.9,0,4914.22,127736504,,0,,0,0,0
29/06/2010,4914.22,5071.68,0,5071.68,101639072,,0,,0,0,0
28/06/2010,5071.68,5085.65,5024.7,5046.47,845187264,,0,,0,0,0
25/06/2010,5046.47,5130.5,0,5100.23,118866880,,0,,0,0,0
24/06/2010,5100.23,5211.8,5090.96,5178.52,979497856,,0,,0,0,0
23/06/2010,5178.52,5247.85,5165.82,5246.98,941044736,,0,,0,0,0
22/06/2010,5246.98,5299.11,0,5299.11,112443872,,0,,0,0,0
21/06/2010,5299.11,5331.46,5250.84,5250.84,797902592,,0,,0,0,0
18/06/2010,5250.84,5289.14,0,5253.89,152813776,,0,,0,0,0
17/06/2010,5253.89,5293.76,0,5237.92,113930160,,0,,0,0,0
16/06/2010,5237.92,5257.26,0,5217.82,102616320,,0,,0,0,0
15/06/2010,5217.82,5242.08,0,5202.13,100526896,,0,,0,0,0
14/06/2010,5202.13,5215.22,5163.68,5163.68,947984704,,0,,0,0,0
11/06/2010,5163.68,5184.37,0,5132.5,110513312,,0,,0,0,0
10/06/2010,5132.5,5149.69,0,5085.86,136494416,,0,,0,0,0
09/06/2010,5085.86,5085.86,0,5028.15,109411672,,0,,0,0,0
08/06/2010,5028.15,5084.13,0,5069.06,119907528,,0,,0,0,0
07/06/2010,5069.06,5126,5040.26,5126,900731392,,0,,0,0,0
04/06/2010,5126,5261.71,0,5211.18,120954360,,0,,0,0,0
03/06/2010,5211.18,5262.5,0,5151.32,121485320,,0,,0,0,0
02/06/2010,5151.32,5163.3,0,5163.3,117378240,,0,,0,0,0
01/06/2010,5163.3,5192.08,0,5188.43,132510720,,0,,0,0,0
28/05/2010,5188.43,5240.27,0,5195.17,133568680,,0,,0,0,0
27/05/2010,5195.17,5195.37,0,5038.08,158263808,,0,,0,0,0
26/05/2010,5038.08,5097.91,0,4940.68,183304112,,0,,0,0,0
25/05/2010,4940.68,5069.61,0,5069.61,172867920,,0,,0,0,0
24/05/2010,5069.61,5109.44,5021.6,5062.93,963073536,,0,,0,0,0
21/05/2010,5062.93,5083.96,0,5073.13,201504256,,0,,0,0,0
20/05/2010,5073.13,5230.18,0,5158.08,170621312,,0,,0,0,0
19/05/2010,5158.08,5307.34,0,5307.34,138249232,,0,,0,0,0
18/05/2010,5307.34,5341.41,0,5262.54,111176384,,0,,0,0,0
17/05/2010,5262.54,5327.46,0,5262.85,120073464,,0,,0,0,0
14/05/2010,5262.85,5433.73,0,5433.73,133585912,,0,,0,0,0
13/05/2010,5433.73,5435.99,5381.55,5383.45,956026304,,0,,0,0,0
12/05/2010,5383.45,5401.02,0,5334.21,151415648,,0,,0,0,0
11/05/2010,5334.21,5387.42,0,5387.42,145051360,,0,,0,0,0
10/05/2010,5387.42,5399.75,0,5123.02,232484528,,0,,0,0,0
07/05/2010,5123.02,5264.48,0,5260.99,275810432,,0,,0,0,0
06/05/2010,5260.99,5371.54,0,5341.93,170194944,,0,,0,0,0
05/05/2010,5341.93,5428.77,0,5411.11,199706960,,0,,0,0,0
04/05/2010,5411.11,5565.99,0,5553.29,173587056,,0,,0,0,0
30/04/2010,5553.29,5643.87,0,5617.84,143912512,,0,,0,0,0
29/04/2010,5617.84,5638.82,0,5586.61,121039728,,0,,0,0,0
28/04/2010,5586.61,5639.98,0,5603.52,183276704,,0,,0,0,0
27/04/2010,5603.52,5758.64,0,5753.85,151649120,,0,,0,0,0
26/04/2010,5753.85,5800.66,0,5723.65,103674784,,0,,0,0,0
23/04/2010,5723.65,5740.88,0,5665.33,100280000,,0,,0,0,0
22/04/2010,5665.33,5761.36,0,5723.43,113985136,,0,,0,0,0
21/04/2010,5723.43,5796.99,0,5783.69,114894272,,0,,0,0,0
20/04/2010,5783.69,5796.61,0,5727.91,108112592,,0,,0,0,0
19/04/2010,5727.91,5748.33,5697.24,5743.96,0,,0,,0,0,0
16/04/2010,5743.96,5833.73,0,5825.01,163502848,,0,,0,0,0
15/04/2010,5825.01,5832.34,0,5796.25,103061496,,0,,0,0,0
14/04/2010,5796.25,5812.84,5761.66,5761.66,868813504,,0,,0,0,0
13/04/2010,5761.66,5778.92,5741.92,5777.65,669420608,,0,,0,0,0
12/04/2010,5777.65,5803.71,5755.78,5770.98,595469440,,0,,0,0,0
09/04/2010,5770.98,5773.6,5712.7,5712.7,704070208,,0,,0,0,0
08/04/2010,5712.7,5762.06,5684.52,5762.06,820356544,,0,,0,0,0
07/04/2010,5762.06,5782.25,5753.42,5780.35,829276864,,0,,0,0,0
06/04/2010,5780.35,5790.4,5744.59,5744.89,845779008,,0,,0,0,0
01/04/2010,5744.89,5744.89,5679.48,5679.64,807719872,,0,,0,0,0
31/03/2010,5679.64,5698.47,0,5672.32,110528368,,0,,0,0,0
30/03/2010,5672.32,5742.75,5662.84,5710.66,931017344,,0,,0,0,0
29/03/2010,5710.66,5733.11,0,5703.02,101597712,,0,,0,0,0
26/03/2010,5703.02,5727.65,0,5727.65,103153104,,0,,0,0,0
25/03/2010,5727.65,5737.1,0,5677.88,109977824,,0,,0,0,0
24/03/2010,5677.88,5698.87,0,5673.63,111884000,,0,,0,0,0
23/03/2010,5673.63,5695.94,5644.54,5644.54,969327616,,0,,0,0,0
22/03/2010,5644.54,5650.12,5583.49,5650.12,886165632,,0,,0,0,0
